ok	/Volumes/Documentos HD/Documento HD/Meu Trabalho/Estudos Acadêmicos/referencias-pdf/Estigmergia/Bonabeau - Swarm Intelligence From Natural to Artificial Systems.pdf	/Users/gustavodeassis/Documents/pdf-research-md-external/referencias-next-5/Estigmergia - Bonabeau - Swarm Intelligence From Natural to Artificial Systems - 1238fa349c.md
ok	/Volumes/Documentos HD/Documento HD/Meu Trabalho/Estudos Acadêmicos/referencias-pdf/Estigmergia/CAMAZINEtlI - A Mathematical Model of Self-organized Pattern Formation.pdf	/Users/gustavodeassis/Documents/pdf-research-md-external/referencias-next-5/Estigmergia - CAMAZINEtlI - A Mathematical Model of Self-organized Pattern Formation - 24e130d9ab.md
ok	/Volumes/Documentos HD/Documento HD/Meu Trabalho/Estudos Acadêmicos/referencias-pdf/Estigmergia/Characteristics of Pattern Formation and Evolution in Approximations of Physarum Transport Networks.pdf	/Users/gustavodeassis/Documents/pdf-research-md-external/referencias-next-5/Estigmergia - Characteristics of Pattern Formation and Evolution in Approximations of Physarum Transport Networks - 7afc8b4522.md
ok	/Volumes/Documentos HD/Documento HD/Meu Trabalho/Estudos Acadêmicos/referencias-pdf/Estigmergia/Garnier - The biological principles of swarm intelligence.pdf	/Users/gustavodeassis/Documents/pdf-research-md-external/referencias-next-5/Estigmergia - Garnier - The biological principles of swarm intelligence - 1ec5f4e220.md
ok	/Volumes/Documentos HD/Documento HD/Meu Trabalho/Estudos Acadêmicos/referencias-pdf/Leibniz/Bouquiaux - Monads and chaos the vitality of leibnizs philosophy.pdf	/Users/gustavodeassis/Documents/pdf-research-md-external/referencias-next-5/Leibniz - Bouquiaux - Monads and chaos the vitality of leibnizs philosophy - f304924f70.md
ok	/Volumes/Documentos HD/Documento HD/Meu Trabalho/Estudos Acadêmicos/referencias-pdf/Leibniz/Danowski - Predicados como acontecimentos em Leibniz.pdf	/Users/gustavodeassis/Documents/pdf-research-md-external/referencias-next-5/Leibniz - Danowski - Predicados como acontecimentos em Leibniz - b38bc288eb.md
ok	/Volumes/Documentos HD/Documento HD/Meu Trabalho/Estudos Acadêmicos/referencias-pdf/Leibniz/Tarde - monadologia e sociologia.pdf	/Users/gustavodeassis/Documents/pdf-research-md-external/referencias-next-5/Leibniz - Tarde - monadologia e sociologia - 59d7735af3.md
ok	/Volumes/Documentos HD/Documento HD/Meu Trabalho/Estudos Acadêmicos/referencias-pdf/Masculino/Edipo - Velho edipo em colono.pdf	/Users/gustavodeassis/Documents/pdf-research-md-external/referencias-next-5/Masculino - Edipo - Velho edipo em colono - 3ba44285c5.md
ok	/Volumes/Documentos HD/Documento HD/Meu Trabalho/Estudos Acadêmicos/referencias-pdf/Metodologia/Adorno - Notas de literatura I.pdf	/Users/gustavodeassis/Documents/pdf-research-md-external/referencias-next-5/Metodologia - Adorno - Notas de literatura I - aa9bf37820.md
ok	/Volumes/Documentos HD/Documento HD/Meu Trabalho/Estudos Acadêmicos/referencias-pdf/Metodologia/Autoetnografia um caminho metodologico para a pesq.pdf	/Users/gustavodeassis/Documents/pdf-research-md-external/referencias-next-5/Metodologia - Autoetnografia um caminho metodologico para a pesq - 7814b008e3.md
